$ sudo pwru --output-tuple "host localhost and tcp and dst port 8080"
2023/11/14 21:01:27 Attaching kprobes (via kprobe-multi)...
1442 / 1442 [---------------------------------------------------------------------------------------] 100.00% ? p/s
2023/11/14 21:01:27 Attached (ignored 0)
2023/11/14 21:01:27 Listening for events..
               SKB    CPU          PROCESS                     FUNC
0xffff88810ebce500      8        [kubectl]        netif_rx_internal [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]       enqueue_to_backlog [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl] __netif_receive_skb_one_core [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]                 ipv6_rcv [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]             ip6_rcv_core [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]                ip6_input [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl] ip6_protocol_deliver_rcu [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]       raw6_local_deliver [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]               tcp_v6_rcv [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]               tcp_filter [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]       sk_filter_trim_cap [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]    security_sock_rcv_skb [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl] bpf_lsm_socket_sock_rcv_skb [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]           tcp_v6_fill_cb [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]          tcp_add_backlog [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]             skb_condense [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]            tcp_v6_do_rcv [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]      tcp_rcv_established [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]              __kfree_skb [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]         skb_release_data [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]            skb_free_head [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]             kfree_skbmem [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [com.docker.back]         napi_consume_skb [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [com.docker.back]         skb_release_data [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [com.docker.back]            skb_free_head [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [com.docker.back]             kfree_skbmem [::1]:37822->[::1]:8080(tcp)
